rep,gen,species,genotype,n,lag,Ta
0,8,Escherichia coli,E1g0,0.5347059320150707,2.063247055195676,3
0,8,Escherichia coli,E2g0,0.5347059320150707,2.0267096678590244,3
0,8,Salmonella enterica,S0g0,7.344212153476105,1.0,3
0,9,Escherichia coli,E0g0,62.532169526457785,1.0,3
0,9,Escherichia coli,E1g0,0.6324480532179997,2.063247055195676,3
0,9,Escherichia coli,E2g0,0.6324480532179997,2.0267096678590244,3
0,9,Salmonella enterica,S0g0,7.987302370179073,1.0,3
0,10,Escherichia coli,E0g0,55.21947011577485,1.0,3
0,10,Escherichia coli,E1g0,0.5584876814433084,2.063247055195676,3
0,10,Escherichia coli,E2g0,0.5584876814433084,2.0267096678590244,3
0,10,Salmonella enterica,S0g0,7.505756702553847,1.0,3
0,11,Escherichia coli,E0g0,60.74390395279093,1.0,3
0,11,Escherichia coli,E1g0,0.614361601248283,2.063247055195676,3
0,11,Escherichia coli,E2g0,0.614361601248283,2.0267096678590244,3
0,11,Salmonella enterica,S0g0,6.872264821444667,1.0,3
0,11,Salmonella enterica,S1g10,1.0,1.9071652980213267,3
0,12,Escherichia coli,E0g0,56.56504441494724,1.0,3
0,12,Escherichia coli,E1g0,0.5720967702117997,2.063247055195676,3
0,12,Escherichia coli,E2g0,0.5720967702117997,2.0267096678590244,3
0,12,Salmonella enterica,S0g0,6.631665170626579,1.0,3
0,12,Salmonella enterica,S1g10,0.9649897585338498,1.9071652980213267,3
0,13,Escherichia coli,E0g0,59.7231002735436,1.0,3
0,13,Escherichia coli,E1g0,0.6040372305356315,2.063247055195676,3
0,13,Escherichia coli,E2g0,0.6040372305356315,2.0267096678590244,3
0,13,Salmonella enterica,S0g0,6.814275337518493,1.0,3
0,13,Salmonella enterica,S1g10,0.9915618088893732,1.9071652980213267,3
0,14,Escherichia coli,E0g0,57.33474683864334,1.0,3
0,14,Escherichia coli,E1g0,0.5798815120992182,2.063247055195676,3
0,14,Escherichia coli,E2g0,0.5798815120992182,2.0267096678590244,3
0,14,Salmonella enterica,S0g0,6.676632055378496,1.0,3
0,14,Salmonella enterica,S1g10,0.9715329995061139,1.9071652980213267,3
0,15,Escherichia coli,E0g0,59.140019335370624,1.0,3
0,15,Escherichia coli,E1g0,0.5981399714606882,2.063247055195676,3
0,15,Escherichia coli,E2g0,0.5981399714606882,2.0267096678590244,3
0,15,Salmonella enterica,S0g0,6.780929212070717,1.0,3
0,15,Salmonella enterica,S1g10,0.9867095329200744,1.9071652980213267,3
0,16,Escherichia coli,E0g0,57.774911911288676,1.0,3
0,16,Escherichia coli,E1g0,0.5843333253882409,2.063247055195676,3
0,16,Escherichia coli,E2g0,0.5843333253882409,2.0267096678590244,3
0,16,Salmonella enterica,S0g0,6.702211257034435,1.0,3
0,16,Salmonella enterica,S1g10,0.9752550914686002,1.9071652980213267,3
0,17,Escherichia coli,E0g0,58.806857057802674,1.0,3
0,17,Escherichia coli,E1g0,0.5947703804893631,2.063247055195676,3
0,17,Escherichia coli,E2g0,0.5947703804893631,2.0267096678590244,3
0,17,Salmonella enterica,S0g0,6.7618018231074375,1.0,3
0,17,Salmonella enterica,S1g10,0.9839262599438093,1.9071652980213267,3
0,18,Escherichia coli,E0g0,58.02658041157128,1.0,3
0,18,Escherichia coli,E1g0,0.586878691305739,2.063247055195676,3
0,18,Escherichia coli,E2g0,0.586878691305739,2.0267096678590244,3
0,18,Salmonella enterica,S0g0,6.716792465240733,1.0,3
0,18,Salmonella enterica,S1g10,0.9773768386051166,1.9071652980213267,3
0,19,Escherichia coli,E0g0,58.61646094876283,1.0,3
0,19,Escherichia coli,E1g0,0.5928447212740433,2.063247055195676,3
0,19,Escherichia coli,E2g0,0.5928447212740433,2.0267096678590244,3
0,19,Salmonella enterica,S0g0,6.750846366190351,1.0,3
0,19,Salmonella enterica,S1g10,0.9823321047123446,1.9071652980213267,3
0,20,Escherichia coli,E0g0,57.17045833691943,1.0,3
0,20,Escherichia coli,E1g0,0.5883338673291578,2.063247055195676,3
0,20,Escherichia coli,E2g0,0.5883338673291578,2.0267096678590244,3
0,20,Escherichia coli,E3g19,1.0,1.7265430035931064,3
0,20,Salmonella enterica,S0g0,6.725114106689358,1.0,3
0,20,Salmonella enterica,S1g10,0.97858774092987,1.9071652980213267,3
0,21,Escherichia coli,E0g0,57.50184637474786,1.0,3
0,21,Escherichia coli,E1g0,0.591744139199523,2.063247055195676,3
0,21,Escherichia coli,E2g0,0.591744139199523,2.0267096678590244,3
0,21,Escherichia coli,E3g19,1.0057964908358001,1.7265430035931064,3
0,21,Salmonella enterica,S0g0,6.744576770342027,1.0,3
0,21,Salmonella enterica,S1g10,0.9814198005431614,1.9071652980213267,3
0,22,Escherichia coli,E0g0,57.25129363712207,1.0,3
0,22,Escherichia coli,E1g0,0.5891657330543681,2.063247055195676,3
0,22,Escherichia coli,E2g0,0.5891657330543681,2.0267096678590244,3
0,22,Escherichia coli,E3g19,1.001413934793496,1.7265430035931064,3
0,22,Salmonella enterica,S0g0,6.729866457842752,1.0,3
0,22,Salmonella enterica,S1g10,0.9792792671263818,1.9071652980213267,3
0,23,Escherichia coli,E0g0,57.440718961707375,1.0,3
0,23,Escherichia coli,E1g0,0.5911150848179412,2.063247055195676,3
0,23,Escherichia coli,E2g0,0.5911150848179412,2.0267096678590244,3
0,23,Escherichia coli,E3g19,1.0047272775599505,1.7265430035931064,3
0,23,Salmonella enterica,S0g0,6.740990495374176,1.0,3
0,23,Salmonella enterica,S1g10,0.9808979529338199,1.9071652980213267,3
0,24,Escherichia coli,E0g0,57.29750226687709,1.0,3
0,24,Escherichia coli,E1g0,0.589641260147181,2.063247055195676,3
0,24,Escherichia coli,E2g0,0.589641260147181,2.0267096678590244,3
0,24,Escherichia coli,E3g19,1.0022221954074433,1.7265430035931064,3
0,24,Salmonella enterica,S0g0,6.732581406930157,1.0,3
0,24,Salmonella enterica,S1g10,0.9796743259836834,1.9071652980213267,3
0,25,Escherichia coli,E0g0,57.405779706794355,1.0,3
0,25,Escherichia coli,E1g0,0.5907555294188304,2.063247055195676,3
0,25,Escherichia coli,E2g0,0.5907555294188304,2.0267096678590244,3
0,25,Escherichia coli,E3g19,1.004116135793213,1.7265430035931064,3
0,25,Salmonella enterica,S0g0,6.73893961858365,1.0,3
0,25,Salmonella enterica,S1g10,0.9805995248546107,1.9071652980213267,3
0,26,Escherichia coli,E0g0,57.32391644490876,1.0,3
0,26,Escherichia coli,E1g0,0.5899130850715485,2.063247055195676,3
0,26,Escherichia coli,E2g0,0.5899130850715485,2.0267096678590244,3
0,26,Escherichia coli,E3g19,1.0026842203552928,1.7265430035931064,3
0,26,Salmonella enterica,S0g0,6.7341326837771005,1.0,3
0,26,Salmonella enterica,S1g10,0.979900056057724,1.9071652980213267,3
0,27,Escherichia coli,E0g0,57.385808854293785,1.0,3
0,27,Escherichia coli,E1g0,0.5905500119325712,2.063247055195676,3
0,27,Escherichia coli,E2g0,0.5905500119325712,2.0267096678590244,3
0,27,Escherichia coli,E3g19,1.0037668146038894,1.7265430035931064,3
0,27,Salmonella enterica,S0g0,6.737766908166173,1.0,3
0,27,Salmonella enterica,S1g10,0.9804288809041902,1.9071652980213267,3
0,28,Escherichia coli,E0g0,57.339015448951216,1.0,3
0,28,Escherichia coli,E1g0,0.5900684669890564,2.063247055195676,3
0,28,Escherichia coli,E2g0,0.5900684669890564,2.0267096678590244,3
0,28,Escherichia coli,E3g19,1.0029483253578064,1.7265430035931064,3
0,28,Salmonella enterica,S0g0,6.7350190977567035,1.0,3
0,28,Salmonella enterica,S1g10,0.9800290403158495,1.9071652980213267,3
0,29,Escherichia coli,E0g0,57.37439374189014,1.0,3
0,29,Escherichia coli,E1g0,0.5904325404722791,2.063247055195676,3
0,29,Escherichia coli,E2g0,0.5904325404722791,2.0267096678590244,3
0,29,Escherichia coli,E3g19,1.0035671465806602,1.7265430035931064,3
0,29,Salmonella enterica,S0g0,6.7370963346368855,1.0,3
0,29,Salmonella enterica,S1g10,0.9803313041159466,1.9071652980213267,3
0,30,Escherichia coli,E0g0,57.347646447771545,1.0,3
0,30,Escherichia coli,E1g0,0.5901572874929057,2.063247055195676,3
0,30,Escherichia coli,E2g0,0.5901572874929057,2.0267096678590244,3
0,30,Escherichia coli,E3g19,1.0030992949157125,1.7265430035931064,3
0,30,Salmonella enterica,S0g0,6.735525569489288,1.0,3
0,30,Salmonella enterica,S1g10,0.980102738251797,1.9071652980213267,3
0,31,Escherichia coli,E0g0,57.367869051387494,1.0,3
0,31,Escherichia coli,E1g0,0.5903653957176614,2.063247055195676,3
0,31,Escherichia coli,E2g0,0.5903653957176614,2.0267096678590244,3
0,31,Escherichia coli,E3g19,1.0034530196225708,1.7265430035931064,3
0,31,Salmonella enterica,S0g0,6.73671284191787,1.0,3
0,31,Salmonella enterica,S1g10,0.9802755011559384,1.9071652980213267,3
0,32,Escherichia coli,E0g0,57.35258023315857,1.0,3
