rep,gen,phase_end,species,genotype,nlag,ngrow,ntot,lag,Ta
1,17,1,Escherichia coli,E0g0,25.702024352256963,24.50303364493462,50.20505799719159,1.0,3
1,17,1,Escherichia coli,E1g15,1.7427719259528927,0.6913326495188562,2.434104575471749,1.7462553731550885,3
1,17,2,Escherichia coli,E0g0,2.6420975339999704e-08,508.20042070197087,508.20042072839186,1.0,3
1,17,2,Escherichia coli,E1g15,9.248664209809183e-06,18.11909874919366,18.11910799785787,1.7462553731550885,3
1,18,1,Escherichia coli,E0g0,25.301809116237276,24.121450921310554,49.423260037547834,1.0,3
1,18,1,Escherichia coli,E1g15,3.251138639949144,1.2896785349298596,4.540817174879003,1.7462553731550885,3
1,18,2,Escherichia coli,E0g0,2.656681634767197e-08,493.6278685602472,493.627868586814,1.0,3
1,18,2,Escherichia coli,E1g15,1.7265322568533412e-05,33.354100133325225,33.354117398647794,1.7462553731550885,3
1,19,1,Escherichia coli,E0g0,24.576284454974505,23.42970714709183,48.00599160206633,1.0,3
1,19,1,Escherichia coli,E1g15,5.984779156265641,2.3740679797939195,8.35884713605956,1.7462553731550885,3
1,19,2,Escherichia coli,E0g0,2.5574551193519822e-08,468.21547437676674,468.2154744023413,1.0,3
1,19,2,Escherichia coli,E1g15,3.177654043262517e-05,59.96686045950907,59.9668922360495,1.7462553731550885,3
2,0,0,Escherichia coli,E0g0,10.0,0.0,10.0,1.0,3
2,0,1,Escherichia coli,E0g0,0.4978706842251962,0.4746836497586775,0.9725543339838737,1.0,3
2,0,2,Escherichia coli,E0g0,2.3563239531041034e-10,500.48622711937605,500.48622711961167,1.0,3
2,1,1,Escherichia coli,E0g0,24.917742031244963,23.75474453725573,48.67248656850069,1.0,3
2,1,2,Escherichia coli,E0g0,2.6739556871299972e-08,524.336190886176,524.3361909129156,1.0,3
2,2,1,Escherichia coli,E0g0,26.10516181039762,24.88737746511634,50.99253927551396,1.0,3
2,2,2,Escherichia coli,E0g0,2.720335099679869e-08,525.4962171252872,525.4962171524905,1.0,3
2,3,1,Escherichia coli,E0g0,26.162916116154488,24.942468882658424,51.10538499881291,1.0,3
2,3,2,Escherichia coli,E0g0,2.4641718524151736e-08,525.5526399849067,525.5526400095484,1.0,3
2,4,1,Escherichia coli,E0g0,26.165725244799187,24.945148494759817,51.110873739559004,1.0,3
2,4,2,Escherichia coli,E0g0,2.4655233877454062e-08,525.5553843549981,525.5553843796533,1.0,3
2,5,1,Escherichia coli,E0g0,26.165861878941367,24.94527882931515,51.111140708256514,1.0,3
2,5,2,Escherichia coli,E0g0,2.8147631796129212e-08,520.7756313497912,520.7756313779388,1.0,3
2,5,2,Escherichia coli,E1g5,2.0782427716309302e-05,4.77986570857704,4.779886491004756,1.9824358737243877,3
2,6,1,Escherichia coli,E0g0,25.92789198922194,24.718375506634764,50.646267495856705,1.0,3
2,6,1,Escherichia coli,E1g5,1.0524565393525882,0.35185698998343545,1.4043135293360236,1.9824358737243877,3
2,6,2,Escherichia coli,E0g0,2.7431359746556272e-08,516.3047624218411,516.3047624492725,1.0,3
2,6,2,Escherichia coli,E1g5,2.1870035100587915e-05,9.720453660798462,9.720475530833562,1.9824358737243877,3
2,7,1,Escherichia coli,E0g0,25.705300520725398,24.506145295075765,50.21144581580116,1.0,3
2,7,1,Escherichia coli,E1g5,2.1402972763644756,0.7155431170080909,2.8558403933725667,1.9824358737243877,3
2,7,2,Escherichia coli,E0g0,2.7020011968894806e-08,506.9539991525008,506.9539991795208,1.0,3
2,7,2,Escherichia coli,E1g5,4.4474935993140926e-05,19.579546871637685,19.57959134657368,1.9824358737243877,3
2,8,1,Escherichia coli,E0g0,25.239753441305517,24.062260530804224,49.30201397210974,1.0,3
2,8,1,Escherichia coli,E1g5,4.3111209835907305,1.4412892796304246,5.752410263221155,1.9824358737243877,3
2,8,2,Escherichia coli,E0g0,2.6257228775526976e-08,488.7934006259557,488.79340065221294,1.0,3
2,8,2,Escherichia coli,E1g5,8.957130049719906e-05,38.73366922589755,38.73375879719805,1.9824358737243877,3
2,9,1,Escherichia coli,E0g0,24.33559047990885,23.20017560881543,47.53576608872428,1.0,3
2,9,1,Escherichia coli,E1g5,8.528570252982346,2.8512526399104816,11.379822892892829,1.9824358737243877,3
2,9,2,Escherichia coli,E0g0,2.5235177697229275e-08,455.3906126730884,455.3906126983236,1.0,3
2,9,2,Escherichia coli,E1g5,0.0001771951465145479,74.06695175466912,74.06712894981564,1.9824358737243877,3
2,10,1,Escherichia coli,E0g0,22.672563590689805,21.614565639205047,44.28712922989485,1.0,3
2,10,1,Escherichia coli,E1g5,16.308427901163835,5.45216379912136,21.760591700285197,1.9824358737243877,3
2,10,2,Escherichia coli,E0g0,2.3437339372232396e-08,399.5567617386115,399.55676176204884,1.0,3
2,10,2,Escherichia coli,E1g5,0.000338824276408774,133.4667067138831,133.4670455381595,1.9824358737243877,3
2,11,1,Escherichia coli,E0g0,19.892759825374966,18.96423138822878,38.85699121360375,1.0,3
2,11,1,Escherichia coli,E1g5,29.387364141144083,9.824559776722111,39.211923917866194,1.9824358737243877,3
2,11,2,Escherichia coli,E0g0,2.0506495365521253e-08,319.5613521094519,319.5613521299584,1.0,3
2,11,2,Escherichia coli,E1g5,0.0006105291789381528,219.47244119852832,219.47305172770726,1.9824358737243877,3
2,12,1,Escherichia coli,E0g0,15.91002289466335,15.167125729334142,31.07714862399749,1.0,3
2,12,1,Escherichia coli,E1g5,48.32454681440469,16.15527573564187,64.47982255004656,1.9824358737243877,3
2,12,2,Escherichia coli,E0g0,1.6403418064448605e-08,226.87938882270848,226.8793888391119,1.0,3
2,12,2,Escherichia coli,E1g5,0.0010039616748508116,320.8980382871574,320.89904224883225,1.9824358737243877,3
2,13,1,Escherichia coli,E0g0,11.295659649294823,10.76802024018137,22.06367988947619,1.0,3
2,13,1,Escherichia coli,E1g5,70.65696980914605,23.62084126166869,94.27781107081474,1.9824358737243877,3
2,13,2,Escherichia coli,E0g0,1.165019104823509e-08,142.43571328350706,142.43571329515726,1.0,3
2,13,2,Escherichia coli,E1g5,0.001467931058229363,415.7335088153181,415.73497674637633,1.9824358737243877,3
2,14,1,Escherichia coli,E0g0,7.091456599527433,6.7601000779339655,13.8515566774614,1.0,3
2,14,1,Escherichia coli,E1g5,91.53836513410974,30.60120585726684,122.13957099137659,1.9824358737243877,3
2,14,2,Escherichia coli,E0g0,7.310773735456148e-09,80.73851117656774,80.73851118387851,1.0,3
2,14,2,Escherichia coli,E1g5,0.001901744476338735,487.2550945778823,487.25699632235865,1.9824358737243877,3
2,15,1,Escherichia coli,E0g0,4.019733779273479,3.831871327655431,7.8516051069289094,1.0,3
2,15,1,Escherichia coli,E1g5,107.28639960156593,35.86551268250205,143.15191228406798,1.9824358737243877,3
2,15,2,Escherichia coli,E0g0,4.1447927728400285e-09,42.63730479904609,42.63730480319089,1.0,3
2,15,2,Escherichia coli,E1g5,0.002228921760633995,532.8621679628359,532.8643968845965,1.9824358737243877,3
2,16,1,Escherichia coli,E0g0,2.122786410850293,2.023568430944157,4.14635484179445,1.0,3
2,16,1,Escherichia coli,E1g5,117.32843868657693,39.222401212664906,156.55083989924185,1.9824358737243877,3
2,16,2,Escherichia coli,E0g0,2.1890268256986926e-09,21.56867470911324,21.568674711302265,1.0,3
2,16,2,Escherichia coli,E1g5,0.00243755188280977,558.7774276592518,558.7798652111346,1.9824358737243877,3
