rep,gen,phase_end,species,genotype,n,lag,Ta
0,9,2,Escherichia coli,E1g5,4.641877405012931,1.8340893491248949,3
0,9,2,Escherichia coli,E2g6,3.3931049454030746,1.9923422539183828,3
0,9,2,Escherichia coli,E3g8,1.5611205112753632,1.3653951855972202,3
0,10,1,Escherichia coli,E0g0,251.83093590490975,1.0,3
0,10,1,Escherichia coli,E1g5,3.464758145398359,1.8340893491248949,3
0,10,1,Escherichia coli,E2g6,2.7124527502486657,1.9923422539183828,3
0,10,1,Escherichia coli,E3g8,0.8849919348070308,1.3653951855972202,3
0,10,2,Escherichia coli,E0g0,615.9632184559038,1.0,3
0,10,2,Escherichia coli,E1g5,6.596864411349333,1.8340893491248949,3
0,10,2,Escherichia coli,E2g6,4.957826658571633,1.9923422539183828,3
0,10,2,Escherichia coli,E3g8,1.9285970683610176,1.3653951855972202,3
0,11,1,Escherichia coli,E0g0,250.1939254093953,1.0,3
0,11,1,Escherichia coli,E1g5,4.920851529339711,1.8340893491248949,3
0,11,1,Escherichia coli,E2g6,3.9609477024035558,1.9923422539183828,3
0,11,1,Escherichia coli,E3g8,1.092422862220905,1.3653951855972202,3
0,11,2,Escherichia coli,E0g0,607.0844358617818,1.0,3
0,11,2,Escherichia coli,E1g5,9.41886408026013,1.8340893491248949,3
0,11,2,Escherichia coli,E2g6,7.277608550033838,1.9923422539183828,3
0,11,2,Escherichia coli,E3g8,2.3938025552944304,1.3653951855972202,3
0,11,2,Escherichia coli,E4g11,1.3949277529619875,1.0816123099149118,3
0,11,2,Escherichia coli,E5g11,1.2878133073574183,1.3048321635059736,3
0,11,2,Escherichia coli,E6g11,1.2265588227451099,1.4612149138872887,3
0,12,1,Escherichia coli,E0g0,246.0991184192482,1.0,3
0,12,1,Escherichia coli,E1g5,7.017194630090383,1.8340893491248949,3
0,12,1,Escherichia coli,E2g6,5.80759923481875,1.9923422539183828,3
0,12,1,Escherichia coli,E3g8,1.3537844281242806,1.3653951855972202,3
0,12,1,Escherichia coli,E4g11,0.6166519740653937,1.0816123099149118,3
0,12,1,Escherichia coli,E5g11,0.6953647720328049,1.3048321635059736,3
0,12,1,Escherichia coli,E6g11,0.7420160725570975,1.4612149138872887,3
0,12,2,Escherichia coli,E0g0,599.7775154636748,1.0,3
0,12,2,Escherichia coli,E1g5,13.308472295773864,1.8340893491248949,3
0,12,2,Escherichia coli,E2g6,10.573546611410965,1.9923422539183828,3
0,12,2,Escherichia coli,E3g8,2.939001872585508,1.3653951855972202,3
0,12,2,Escherichia coli,E4g11,1.4645066835578888,1.0816123099149118,3
0,12,2,Escherichia coli,E5g11,1.538347828649173,1.3048321635059736,3
0,12,2,Escherichia coli,E6g11,1.564411081556219,1.4612149138872887,3
0,13,1,Escherichia coli,E0g0,242.85498392699137,1.0,3
0,13,1,Escherichia coli,E1g5,9.907851232350527,1.8340893491248949,3
0,13,1,Escherichia coli,E2g6,8.432126770731292,1.9923422539183828,3
0,13,1,Escherichia coli,E3g8,1.6605768085928254,1.3653951855972202,3
0,13,1,Escherichia coli,E4g11,0.6466977961115091,1.0816123099149118,3
0,13,1,Escherichia coli,E5g11,0.8298462396001953,1.3048321635059736,3
0,13,1,Escherichia coli,E6g11,0.9455731932941758,1.4612149138872887,3
0,13,2,Escherichia coli,E0g0,589.6854471774801,1.0,3
0,13,2,Escherichia coli,E1g5,18.72112006044742,1.8340893491248949,3
0,13,2,Escherichia coli,E2g6,15.295284352075466,1.9923422539183828,3
0,13,2,Escherichia coli,E3g8,3.5915873110719443,1.3653951855972202,3
0,13,2,Escherichia coli,E4g11,1.5301710413574832,1.0816123099149118,3
