rep,cycle,phase_end,species,genotype,nlag,ngrow,ntot,lag,Ta
0,7,1,Escherichia coli,E0g0,0.06598687153767889,0.06569273148500375,0.13167960302268264,1.0,5
0,7,1,Escherichia coli,E1g2,39.96866955002285,21.3870676772263,61.35573722724915,1.4347090168357022,5
0,7,1,Escherichia coli,E2g6,11.880739114047703,3.4175032153448406,15.298242329392544,2.2401221393486606,5
0,7,1,Salmonella enterica,S0g0,5.029433879067469,65.45522412986055,70.48465800892802,1.0,5
0,7,1,Salmonella enterica,S1g1,0.3911073994965951,0.7922460418830601,1.1833534413796554,1.9376668616004866,5
0,7,2,Escherichia coli,E0g0,6.823656972711514e-11,3.087206878259273,3.0872068783275095,1.0,5
0,7,2,Escherichia coli,E1g2,1.7648636946629356e-05,1197.7528764889832,1197.7528941376202,1.4347090168357022,5
0,7,2,Escherichia coli,E2g6,0.0007877765116853341,227.55179815814776,227.55258593465945,2.2401221393486606,5
0,7,2,Salmonella enterica,S0g0,5.200902961137184e-09,718.9362365450198,718.9362365502208,1.0,5
0,7,2,Salmonella enterica,S1g1,6.436224839636599e-06,10.802260687440704,10.802267123665544,1.9376668616004866,5
0,7,2,Salmonella enterica,S2g7,1.3286591167465242e-09,8.045428288538053,8.045428289866713,1.0127055495778796,5
0,8,1,Escherichia coli,E0g0,0.020801434865480518,0.020708748996121566,0.04151018386160209,1.0,5
0,8,1,Escherichia coli,E1g2,36.71462745103921,19.645868850548954,56.36049630158817,1.4347090168357022,5
0,8,1,Escherichia coli,E2g6,24.41896793023053,7.024141007812613,31.443108938043142,2.2401221393486606,5
0,8,1,Salmonella enterica,S0g0,4.844153918552721,53.96822926618878,58.8123831847415,1.0,5
0,8,1,Salmonella enterica,S1g1,0.8181849223172173,1.4605523155102236,2.278737237827441,1.9376668616004866,5
0,8,1,Salmonella enterica,S2g7,0.05771920431819963,0.6126310563217797,0.6703502606399794,1.0127055495778796,5
0,8,2,Escherichia coli,E0g0,2.147795500360486e-11,0.8893691871236928,0.8893691871451708,1.0,5
0,8,2,Escherichia coli,E1g2,1.6209600464697262e-05,1005.4954195273821,1005.4954357369826,1.4347090168357022,5
0,8,2,Escherichia coli,E2g6,0.0016191378535809165,427.53599052599424,427.53760966384783,2.2401221393486606,5
0,8,2,Salmonella enterica,S0g0,5.0016991888240884e-09,701.2646436308042,701.2646436358059,1.0,5
0,8,2,Salmonella enterica,S1g1,1.346414310963114e-05,23.58252312320368,23.582536587346787,1.9376668616004866,5
0,8,2,Salmonella enterica,S2g7,7.658217134624637e-11,7.98348185152937,7.983481851605952,1.0127055495778796,5
0,9,1,Escherichia coli,E0g0,0.0059925222319594795,0.005965835981409112,0.011958358213368592,1.0,5
0,9,1,Escherichia coli,E1g2,30.82137451794484,16.492440627102745,47.313815145047585,1.4347090168357022,5
0,9,1,Escherichia coli,E2g6,45.87962445038092,13.19734072202594,59.076965172406865,2.2401221393486606,5
0,9,1,Salmonella enterica,S0g0,4.725083832692709,53.21382585762476,57.93890969031747,1.0,5
0,9,1,Salmonella enterica,S1g1,1.7861876278485,3.173125238478426,4.959312866326926,1.9376668616004866,5
0,9,1,Salmonella enterica,S2g7,0.057274792391758145,0.6142529088104667,0.6715277012022248,1.0127055495778796,5
0,9,2,Escherichia coli,E0g0,6.1820724038523715e-12,0.2245309254699024,0.22453092547608447,1.0,5
0,9,2,Escherichia coli,E1g2,1.360666994316797e-05,739.3865818905224,739.3865954971924,1.4347090168357022,5
0,9,2,Escherichia coli,E2g6,0.003042106924619132,703.5870568555778,703.5900989625023,2.2401221393486606,5
0,9,2,Salmonella enterica,S0g0,4.8745435122834665e-09,675.8710521202399,675.8710521251145,1.0,5
0,9,2,Salmonella enterica,S1g1,2.939338124432057e-05,50.039853417397154,50.0398828107784,1.9376668616004866,5
0,9,2,Salmonella enterica,S2g7,7.593234816651134e-11,7.823866840093379,7.823866840169311,1.0127055495778796,5
1,0,0,Escherichia coli,E0g0,5.0,0.0,5.0,1.0,5
1,0,0,Salmonella enterica,S0g0,5.0,0.0,5.0,1.0,5
1,0,1,Escherichia coli,E0g0,0.03368973187024907,0.07401323299234756,0.10770296486259663,1.0,5
1,0,1,Salmonella enterica,S0g0,0.03368973187024907,2.533068776107082,2.566758507977331,1.0,5
1,0,2,Escherichia coli,E0g0,5.4738414604735757e-11,1390.0537124770865,1390.0537124771413,1.0,5
1,0,2,Salmonella enterica,S0g0,5.4738414604735757e-11,703.2333089306959,703.2333089307506,1.0,5
1,1,1,Escherichia coli,E0g0,9.36610818618852,9.324563137899764,18.690671324088285,1.0,5
1,1,1,Salmonella enterica,S0g0,4.738348736063718,25.069845842522643,29.80819457858636,1.0,5
1,1,2,Escherichia coli,E0g0,1.0736092474601977e-08,1399.3451957401967,1399.3451957509328,1.0,5
1,1,2,Salmonella enterica,S0g0,5.4314288459216184e-09,716.8540256103181,716.8540256157495,1.0,5
1,2,1,Escherichia coli,E0g0,9.428713787696163,9.386825864727903,18.815539652424064,1.0,5
1,2,1,Salmonella enterica,S0g0,4.830124443641376,25.98975650043807,30.819880944079443,1.0,5
1,2,2,Escherichia coli,E0g0,1.0117383293482229e-08,1399.4076298988957,1399.4076299090132,1.0,5
1,2,2,Salmonella enterica,S0g0,5.1829148123444184e-09,701.8442997389,701.8442997440828,1.0,5
1,2,2,Salmonella enterica,S1g2,1.835899341504253e-05,15.515550649941872,15.515569008935287,1.958357948723748,5
1,3,1,Escherichia coli,E0g0,9.42913443996081,9.387257793617215,18.816392233578025,1.0,5
1,3,1,Salmonella enterica,S0g0,4.728989693044178,25.332912567370364,30.06190226041454,1.0,5
1,3,1,Salmonella enterica,S1g2,1.207659965905299,1.2122411509272657,2.4199011168325644,1.958357948723748,5
1,3,2,Escherichia coli,E0g0,1.0019272311888016e-08,1399.4080561895269,1399.408056199546,1.0,5
1,3,2,Salmonella enterica,S0g0,5.0249612835668416e-09,637.3738592571057,637.3738592621306,1.0,5
1,3,2,Salmonella enterica,S1g2,2.2169901928836667e-05,46.58052696420775,46.58054913410968,1.958357948723748,5
1,3,2,Salmonella enterica,S2g3,1.8653529549683573e-06,16.311116710854723,16.31111857620768,1.5999805146157624,5
1,3,2,Salmonella enterica,S3g3,3.7571174717931946e-08,17.92530288429387,17.925302921865047,1.2186418299205337,5
1,4,1,Escherichia coli,E0g0,9.429137269122501,9.3873031012474,18.816440370369904,1.0,5
1,4,1,Salmonella enterica,S0g0,4.29459126243305,22.755168924264364,27.049760186697412,1.0,5
1,4,1,Salmonella enterica,S1g2,3.6256140103125465,3.6069715813910364,7.232585591703582,1.958357948723748,5
1,4,1,Salmonella enterica,S2g3,0.7166332600129663,1.058997885605264,1.7756311456182303,1.5999805146157624,5
1,4,1,Salmonella enterica,S3g3,0.29620160064251266,0.8453254608594544,1.141527061501967,1.2186418299205337,5
1,4,2,Escherichia coli,E0g0,9.84646199894448e-09,1399.4080802580938,1399.4080802679402,1.0,5
1,4,2,Salmonella enterica,S0g0,4.484665824481213e-09,548.5207341675008,548.5207341719855,1.0,5
1,4,2,Salmonella enterica,S1g2,6.65457246556432e-05,103.50025116672916,103.5003177124538,1.958357948723748,5
1,4,2,Salmonella enterica,S2g3,1.335823075439183e-06,32.646908847549476,32.646910183372555,1.5999805146157624,5
1,4,2,Salmonella enterica,S3g3,1.1078475774000009e-08,22.432906440966605,22.43290645204508,1.2186418299205337,5
