well,species,season,alive,n_genotypes,s,MIC,mutations,n_species,u,rep,gens,mutant_function
10,0,10,False,0,,,,1,0.001,0,20,null
11,0,10,False,0,,,,1,0.001,0,20,null
12,0,10,False,0,,,,1,0.001,0,20,null
13,0,10,False,0,,,,1,0.001,0,20,null
14,0,10,False,0,,,,1,0.001,0,20,null
0,0,11,True,7,1.8413487032433342,1.1853619531839217,5.007000000000001,1,0.001,0,20,null
1,0,11,True,6,2.08516098386575,1.5654127195002874,5.849,1,0.001,0,20,null
2,0,11,True,8,1.9261242179855904,2.5855141628857723,5.644999999999999,1,0.001,0,20,null
3,0,11,True,8,1.9830786495552732,3.0193533886371737,6.080999999999999,1,0.001,0,20,null
4,0,11,True,12,1.3959003460555708,4.303068393090366,6.314,1,0.001,0,20,null
5,0,11,True,11,1.2744941865591932,5.222697359036027,7.275,1,0.001,0,20,null
6,0,11,False,0,,,,1,0.001,0,20,null
7,0,11,False,0,,,,1,0.001,0,20,null
8,0,11,False,0,,,,1,0.001,0,20,null
9,0,11,False,0,,,,1,0.001,0,20,null
10,0,11,False,0,,,,1,0.001,0,20,null
11,0,11,False,0,,,,1,0.001,0,20,null
12,0,11,False,0,,,,1,0.001,0,20,null
13,0,11,False,0,,,,1,0.001,0,20,null
14,0,11,False,0,,,,1,0.001,0,20,null
0,0,12,True,8,1.8476279827166346,1.2207214552665315,5.102,1,0.001,0,20,null
1,0,12,True,10,2.138983124258864,1.6586865093710836,6.065999999999999,1,0.001,0,20,null
2,0,12,True,14,2.1499342077572567,2.541701755430228,6.608999999999999,1,0.001,0,20,null
3,0,12,True,13,2.011645099055562,3.034044192612253,6.366000000000001,1,0.001,0,20,null
4,0,12,True,14,1.4794280684987853,4.12421149065762,6.084,1,0.001,0,20,null
5,0,12,True,6,1.470289716404875,5.625155200668615,7.904,1,0.001,0,20,null
6,0,12,False,0,,,,1,0.001,0,20,null
7,0,12,False,0,,,,1,0.001,0,20,null
8,0,12,False,0,,,,1,0.001,0,20,null
9,0,12,False,0,,,,1,0.001,0,20,null
10,0,12,False,0,,,,1,0.001,0,20,null
11,0,12,False,0,,,,1,0.001,0,20,null
12,0,12,False,0,,,,1,0.001,0,20,null
13,0,12,False,0,,,,1,0.001,0,20,null
14,0,12,False,0,,,,1,0.001,0,20,null
0,0,13,True,15,1.846604277540215,1.2109147281276857,5.125,1,0.001,0,20,null
1,0,13,True,13,2.1221713590464244,1.6422203411393177,6.090999999999999,1,0.001,0,20,null
2,0,13,True,9,2.260469309588342,2.3634523812688992,7.0,1,0.001,0,20,null
3,0,13,True,12,2.056781459496988,3.108750214081391,6.8839999999999995,1,0.001,0,20,null
4,0,13,True,13,1.5187907426585627,4.081865148893987,6.110999999999999,1,0.001,0,20,null
5,0,13,True,9,1.510455979330164,5.708755708786047,8.030000000000001,1,0.001,0,20,null
6,0,13,False,0,,,,1,0.001,0,20,null
7,0,13,False,0,,,,1,0.001,0,20,null
8,0,13,False,0,,,,1,0.001,0,20,null
9,0,13,False,0,,,,1,0.001,0,20,null
10,0,13,False,0,,,,1,0.001,0,20,null
11,0,13,False,0,,,,1,0.001,0,20,null
12,0,13,False,0,,,,1,0.001,0,20,null
13,0,13,False,0,,,,1,0.001,0,20,null
14,0,13,False,0,,,,1,0.001,0,20,null
0,0,14,True,7,1.8476925896957688,1.1846580356389877,5.103,1,0.001,0,20,null
1,0,14,True,8,2.1558734060691167,1.7049937543936686,6.282,1,0.001,0,20,null
2,0,14,True,6,2.265073242002643,2.3781495178282954,7.026,1,0.001,0,20,null
