culture,rep,phase0_length,frac
Coculture,6,16,0.015195375479139628
Monoculture,7,16,0.015494574930039438
Coculture,7,16,0.014635619833631208
Monoculture,8,16,0.014969182548871902
Coculture,8,16,0.014730137348081327
Monoculture,9,16,0.014504405972383422
Coculture,9,16,0.015214438084536586
Monoculture,0,17,0.015361133591335006
Coculture,0,17,0.014811641770931762
Monoculture,1,17,0.014512038407899257
Coculture,1,17,0.014460663033908475
Monoculture,2,17,0.014590454563431646
Coculture,2,17,0.014822784153350163
Monoculture,3,17,0.014920346262733544
Coculture,3,17,0.014853862964234726
Monoculture,4,17,0.014647551738591868
Coculture,4,17,0.014449266691262543
Monoculture,5,17,0.015246762943006963
Coculture,5,17,0.014582542768324413
Monoculture,6,17,0.014943130196768208
Coculture,6,17,0.014622178382014262
Monoculture,7,17,0.014487740653601066
Coculture,7,17,0.014501194778034536
Monoculture,8,17,0.014654362683474864
Coculture,8,17,0.020717160818340078
Monoculture,9,17,0.014471994010891274
Coculture,9,17,0.014882444718835538
Monoculture,0,18,0.01473354360756692
Coculture,0,18,0.014655087321444202
Monoculture,1,18,0.014269761009208688
Coculture,1,18,0.014527358222478429
Monoculture,2,18,0.014676787372969086
Coculture,2,18,0.014677107063985555
Monoculture,3,18,0.015038035469638606
Coculture,3,18,0.014424160821193577
Monoculture,4,18,0.014440665611939072
Coculture,4,18,0.014770640382379019
Monoculture,5,18,0.019556977440600344
Coculture,5,18,0.014613023620907094
Monoculture,6,18,0.014672113241056692
Coculture,6,18,0.014502568807150876
Monoculture,7,18,0.01469530104052327
Coculture,7,18,0.014655024079092959
Monoculture,8,18,0.0142838833839003
Coculture,8,18,0.014463761476755151
Monoculture,9,18,0.014801006703021669
Coculture,9,18,0.01743683270344717
Monoculture,0,19,0.014719202304858287
Coculture,0,19,0.014427070218655772
Monoculture,1,19,0.014773515156992687
Coculture,1,19,0.014443275898849622
Monoculture,2,19,0.014460345791782061
Coculture,2,19,0.01462542711488715
Monoculture,3,19,0.014436306294501558
Coculture,3,19,0.014470965507859547
Monoculture,4,19,0.014502578781295005
Coculture,4,19,0.014477295556909027
Monoculture,5,19,0.014373639253464071
Coculture,5,19,0.014190377194477171
Monoculture,6,19,0.014740488057574752
Coculture,6,19,0.014268558637139437
Monoculture,7,19,0.014783355659413192
Coculture,7,19,0.014364911997313863
Monoculture,8,19,0.014525977073568577
Coculture,8,19,0.014556944295158894
Monoculture,9,19,0.014657579048680883
Coculture,9,19,0.01470277546152146
Monoculture,0,20,0.015002295348746392
Coculture,0,20,0.014666907211943848
Monoculture,1,20,0.014572333645044252
Coculture,1,20,0.014869030741894045
Monoculture,2,20,0.014368965450986556
Coculture,2,20,0.014493705280472577
Monoculture,3,20,0.014877897295397147
Coculture,3,20,0.0147971571963383
Monoculture,4,20,0.014632714576089558
Coculture,4,20,0.014982375677298583
Monoculture,5,20,0.01484338505204669
Coculture,5,20,0.014555193098487646
Monoculture,6,20,0.014761549787630144
Coculture,6,20,0.014544523858710974
Monoculture,7,20,0.014145115180123242
Coculture,7,20,0.014302851960450813
Monoculture,8,20,0.01435357476184528
Coculture,8,20,0.014598092059659536
Monoculture,9,20,0.014702139205931624
Coculture,9,20,0.01434660677429539
