seed,culture,met,rep,frac_slope
154,Monoculture,21,6,0.12672845012279108
154,Monoculture,21,7,0.13132831105578008
154,Monoculture,21,8,0.10413973211076714
154,Monoculture,21,9,0.12394080145954116
154,Coculture,21,0,0.11644100918089109
154,Monoculture,22,0,0.13824598828827822
154,Monoculture,22,1,0.11299231468168576
154,Monoculture,22,2,0.10754224722488648
154,Monoculture,22,3,0.12880183482189586
154,Monoculture,22,4,0.11947023975108073
154,Monoculture,22,5,0.10869927370266207
154,Monoculture,22,6,0.10363641457099532
154,Monoculture,22,7,0.1261432318838874
154,Monoculture,22,8,0.10080027152117009
154,Monoculture,22,9,0.11787090677580261
154,Coculture,22,0,0.11644100918089109
154,Monoculture,23,0,0.12092813271222623
154,Monoculture,23,1,0.11912965914645104
154,Monoculture,23,2,0.12728898420952556
154,Monoculture,23,3,0.10616107855413418
154,Monoculture,23,4,0.12961425136799673
154,Monoculture,23,5,0.11655112968619258
154,Monoculture,23,6,0.1052029209649442
154,Monoculture,23,7,0.11112108841314884
154,Monoculture,23,8,0.10713981074714306
154,Monoculture,23,9,0.12140842283776222
154,Coculture,23,0,0.11644100918089109
154,Monoculture,24,0,0.10885050187350621
154,Monoculture,24,1,0.0961463479967219
154,Monoculture,24,2,0.1256420443442977
154,Monoculture,24,3,0.13908357632390433
154,Monoculture,24,4,0.133168083818435
154,Monoculture,24,5,0.11292138165790958
154,Monoculture,24,6,0.12075667069367184
154,Monoculture,24,7,0.11341671691651241
154,Monoculture,24,8,0.10917932209570877
154,Monoculture,24,9,0.11082267450154877
154,Coculture,24,0,0.11644100918089109
154,Monoculture,25,0,0.11471665491011367
154,Monoculture,25,1,0.11193528169080237
154,Monoculture,25,2,0.10903325885059058
154,Monoculture,25,3,0.11276304740885326
154,Monoculture,25,4,0.13633721792532996
154,Monoculture,25,5,0.036029463897634874
154,Monoculture,25,6,0.0930763101090822
154,Monoculture,25,7,0.1113868388131235
154,Monoculture,25,8,0.10808710309065642
154,Monoculture,25,9,0.10802645963515906
154,Coculture,25,0,0.11644100918089109
154,Monoculture,26,0,0.10539747440704914
154,Monoculture,26,1,0.0980664572658811
154,Monoculture,26,2,0.12624961527164633
154,Monoculture,26,3,0.09731303658225736
154,Monoculture,26,4,0.0800268603487834
154,Monoculture,26,5,0.0975706982308181
154,Monoculture,26,6,0.12686382758581652
154,Monoculture,26,7,0.11224977366277046
154,Monoculture,26,8,0.11558742443586051
154,Monoculture,26,9,0.10568144094381042
154,Coculture,26,0,0.11644100918089109
154,Monoculture,27,0,0.12095462621300022
154,Monoculture,27,1,0.11167394639615533
154,Monoculture,27,2,0.0823478810216011
154,Monoculture,27,3,0.11970765965545804
154,Monoculture,27,4,0.06599314973528474
154,Monoculture,27,5,0.10688454513471712
154,Monoculture,27,6,0.10700314195164912
