culture,dur,rep,frac_slope
Coculture,14,6,0.1822064509221749
Monoculture,14,7,0.014315821470385702
Coculture,14,7,0.049306406538189455
Monoculture,14,8,0.014105765306522935
Coculture,14,8,0.02006238199248046
Monoculture,14,9,0.034778955444215644
Coculture,14,9,0.07474029576071095
Monoculture,15,0,0.01683241729135416
Coculture,15,0,0.10115334918072579
Monoculture,15,1,0.014179902194870697
Coculture,15,1,0.014667357888374416
Monoculture,15,2,0.00796326831953471
Coculture,15,2,0.01737892536094006
Monoculture,15,3,0.012164852359005454
Coculture,15,3,0.012596582873233874
Monoculture,15,4,0.01739216126629625
Coculture,15,4,0.009968884254175497
Monoculture,15,5,0.03376895943966515
Coculture,15,5,0.023794779532503443
Monoculture,15,6,0.006627551937198672
Coculture,15,6,0.027758274374287167
Monoculture,15,7,0.05707135851225813
Coculture,15,7,0.015020236423203541
Monoculture,15,8,0.011272388197867167
Coculture,15,8,0.010877866805589727
Monoculture,15,9,0.011978810577354152
Coculture,15,9,0.01036836527986173
Monoculture,16,0,0.0066165051350010684
Coculture,16,0,0.009452839988604288
Monoculture,16,1,0.004490718185016067
Coculture,16,1,0.007679713917888627
Monoculture,16,2,0.012470134791721994
Coculture,16,2,0.10028707922173045
Monoculture,16,3,0.006604050827817616
Coculture,16,3,0.007004229885190806
Monoculture,16,4,0.03065558899839576
Coculture,16,4,0.007262416297023083
Monoculture,16,5,0.026571851968775508
Coculture,16,5,0.008375300780431888
Monoculture,16,6,0.011929223122820883
Coculture,16,6,0.06805935691424993
Monoculture,16,7,0.008537530737884415
Coculture,16,7,0.006757065881948471
Monoculture,16,8,0.009489067095049273
Coculture,16,8,0.08090084513659333
Monoculture,16,9,0.004666524332312116
Coculture,16,9,0.007638564157237197
Monoculture,17,0,0.00566888158777357
Coculture,17,0,0.007821813921293415
Monoculture,17,1,0.008407520541602074
Coculture,17,1,0.008146997653575547
Monoculture,17,2,0.00477312747618411
Coculture,17,2,0.006594121478136358
Monoculture,17,3,0.0029191929828720547
Coculture,17,3,0.008997634418870954
Monoculture,17,4,0.006458852716193579
Coculture,17,4,0.008421418124411353
Monoculture,17,5,0.005795622905589096
Coculture,17,5,0.005721931820220295
Monoculture,17,6,0.008674089102696186
Coculture,17,6,0.005717104582092709
Monoculture,17,7,0.04287196503500012
Coculture,17,7,0.005657425838089002
Monoculture,17,8,0.00887857581525929
Coculture,17,8,0.014733971595965189
Monoculture,17,9,0.005273134160311188
Coculture,17,9,0.008034680839448883
Monoculture,18,0,0.0055871184207488805
Coculture,18,0,0.004654437371136638
Monoculture,18,1,0.00754207522878144
Coculture,18,1,0.0070729478415684655
Monoculture,18,2,0.0045975550219566185
Coculture,18,2,0.00715745472012553
Monoculture,18,3,0.007924858802422208
Coculture,18,3,0.003599497187683221
Monoculture,18,4,0.005345269291021817
Coculture,18,4,0.010621698533590546
Monoculture,18,5,0.0040306409804269925
Coculture,18,5,0.006711533778613643
Monoculture,18,6,0.006000602234190576
Coculture,18,6,0.004479122229047644
Monoculture,18,7,0.006022333496640188
Coculture,18,7,0.01356446811812457
Monoculture,18,8,0.006685779374707079
