seed,culture,lac,rep,frac_slope
763,Monoculture,125,4,0.12553160739757727
763,Coculture,125,4,0.11648842716469628
763,Monoculture,125,5,0.1302447041511792
763,Coculture,125,5,0.12514403587623835
763,Monoculture,125,6,0.12038185411254478
763,Coculture,125,6,0.10942485821434174
763,Monoculture,125,7,0.1174720615141843
763,Coculture,125,7,0.11917520560341985
763,Monoculture,125,8,0.10100227080915898
763,Coculture,125,8,0.10324844513983095
763,Monoculture,125,9,0.11246797968723662
763,Coculture,125,9,0.10519684154377161
763,Monoculture,150,0,0.10870747202849045
763,Coculture,150,0,0.09628444343892917
763,Monoculture,150,1,0.11536853105277914
763,Coculture,150,1,0.12306937831058344
763,Monoculture,150,2,0.12713808896959947
763,Coculture,150,2,0.10491971371751765
763,Monoculture,150,3,0.11117683995725167
763,Coculture,150,3,0.11779968565476502
763,Monoculture,150,4,0.10653940639383085
763,Coculture,150,4,0.09870799711152754
763,Monoculture,150,5,0.1288729064824848
763,Coculture,150,5,0.09986721018529744
763,Monoculture,150,6,0.12343627189854695
763,Coculture,150,6,0.10701905410793253
763,Monoculture,150,7,0.11366158138979575
763,Coculture,150,7,0.13223607363757953
763,Monoculture,150,8,0.11006752009925343
763,Coculture,150,8,0.1407045649106804
763,Monoculture,150,9,0.12685811306351663
763,Coculture,150,9,0.10121314840712566
763,Monoculture,175,0,0.1339075421149228
763,Coculture,175,0,0.1207970611562098
763,Monoculture,175,1,0.1104571427445932
763,Coculture,175,1,0.10349444306438493
763,Monoculture,175,2,0.11986273135247563
763,Coculture,175,2,0.10952753416363631
763,Monoculture,175,3,0.10526700996410358
763,Coculture,175,3,0.11562313678754492
763,Monoculture,175,4,0.10089951974532349
763,Coculture,175,4,0.12338376419833487
763,Monoculture,175,5,0.13151685662607154
763,Coculture,175,5,0.1058188786217757
763,Monoculture,175,6,0.1085363881750352
763,Coculture,175,6,0.13050480168483858
763,Monoculture,175,7,0.12579225101653793
763,Coculture,175,7,0.1138000668665836
763,Monoculture,175,8,0.10309838871994495
763,Coculture,175,8,0.09283071224651082
763,Monoculture,175,9,0.12326043891761386
763,Coculture,175,9,0.11338201945641516
763,Monoculture,200,0,0.10002546796423775
763,Coculture,200,0,0.11189876640066872
763,Monoculture,200,1,0.1315654858467741
763,Coculture,200,1,0.139381646897482
763,Monoculture,200,2,0.12744409190134925
763,Coculture,200,2,0.11893344592026582
763,Monoculture,200,3,0.11898627451785015
763,Coculture,200,3,0.1313325031143075
763,Monoculture,200,4,0.10165308842127503
763,Coculture,200,4,0.1069054537075973
763,Monoculture,200,5,0.11922265275976404
763,Coculture,200,5,0.11962702224646192
763,Monoculture,200,6,0.10151221145559214
763,Coculture,200,6,0.119919568025956
763,Monoculture,200,7,0.10659274647013575
763,Coculture,200,7,0.12787167246070638
763,Monoculture,200,8,0.10096774552650423
763,Coculture,200,8,0.11501868634542502
763,Monoculture,200,9,0.12236041685640463
763,Coculture,200,9,0.10225755107197901
763,Monoculture,250,0,0.11909216389753101
763,Coculture,250,0,0.12041331251763307
