rep,gen,phase_end,species,genotype,nlag,ngrow,ntot,lag,Ta
1,10,2,Salmonella enterica,S0g0,1.513461951277524e-08,281.7964132645843,281.79641327971893,1.0,3
1,11,1,Escherichia coli,E0g0,26.167482386279875,25.008489092202552,51.175971478482424,1.0,3
1,11,1,Salmonella enterica,S0g0,14.029817304736923,44.56306559466696,58.59288289940388,1.0,3
1,11,2,Escherichia coli,E0g0,2.8227976701380955e-08,525.5879332176357,525.5879332458637,1.0,3
1,11,2,Salmonella enterica,S0g0,1.513456090925873e-08,281.7964132900426,281.79641330517717,1.0,3
1,12,1,Escherichia coli,E0g0,26.167482386279286,25.008489092199852,51.17597147847914,1.0,3
1,12,1,Salmonella enterica,S0g0,14.02981730600441,44.563065600042385,58.592882906046796,1.0,3
1,12,2,Escherichia coli,E0g0,2.822797612272942e-08,525.5879332176345,525.5879332458625,1.0,3
1,12,2,Salmonella enterica,S0g0,1.51345605990434e-08,281.79641329331037,281.7964133084449,1.0,3
1,13,1,Escherichia coli,E0g0,26.167482386279143,25.008489092199284,51.17597147847843,1.0,3
1,13,1,Salmonella enterica,S0g0,14.02981730616706,44.56306560073218,58.59288290689924,1.0,3
1,13,2,Escherichia coli,E0g0,2.8228085083084334e-08,525.5879332176338,525.5879332458619,1.0,3
1,13,2,Salmonella enterica,S0g0,1.5134619019176413e-08,281.79641329371753,281.79641330885215,1.0,3
1,14,1,Escherichia coli,E0g0,26.16748238627915,25.008489092199277,51.17597147847843,1.0,3
1,14,1,Salmonella enterica,S0g0,14.029817306187331,44.56306560081815,58.59288290700548,1.0,3
1,14,2,Escherichia coli,E0g0,2.822808675246538e-08,525.5879332176335,525.5879332458616,1.0,3
1,14,2,Salmonella enterica,S0g0,1.5134619914861675e-08,281.7964132937858,281.7964133089204,1.0,3
1,15,1,Escherichia coli,E0g0,26.16748238627922,25.008489092199326,51.175971478478544,1.0,3
